iter	Passed	Remaining
0	60	5943
1	125	6159
2	179	5807
3	236	5687
4	297	5653
5	355	5576
6	417	5546
7	476	5482
8	529	5353
9	587	5291
10	640	5183
11	699	5131
12	755	5056
13	822	5050
14	884	5013
15	950	4989
16	1006	4912
17	1059	4826
18	1113	4745
19	1163	4653
20	1219	4586
21	1276	4524
22	1331	4458
23	1386	4389
24	1438	4315
25	1490	4242
26	1545	4178
27	1600	4116
28	1654	4050
29	1711	3994
30	1761	3921
31	1813	3853
32	1866	3789
33	1918	3724
34	1977	3672
35	2031	3610
36	2090	3560
37	2147	3503
38	2210	3457
39	2266	3399
40	2316	3333
41	2371	3275
42	2420	3208
43	2474	3148
44	2531	3094
45	2590	3041
46	2643	2980
47	2696	2921
48	2748	2860
49	2798	2798
50	2853	2741
51	2906	2683
52	2966	2630
53	3017	2570
54	3075	2515
55	3133	2462
56	3191	2407
57	3249	2353
58	3301	2294
59	3362	2241
60	3413	2182
61	3471	2127
62	3524	2069
63	3583	2015
64	3639	1959
65	3693	1902
66	3744	1844
67	3799	1788
68	3858	1733
69	3912	1676
70	3974	1623
71	4032	1568
72	4090	1512
73	4141	1455
74	4195	1398
75	4268	1347
76	4326	1292
77	4381	1235
78	4435	1178
79	4502	1125
80	4564	1070
81	4627	1015
82	4686	959
83	4755	905
84	4815	849
85	4877	794
86	4936	737
87	5000	681
88	5054	624
89	5115	568
90	5174	511
91	5238	455
92	5292	398
93	5355	341
94	5411	284
95	5478	228
96	5541	171
97	5601	114
98	5655	57
99	5717	0
